City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Vaitape,PF,-16.5167,-151.75,78.37,72,0,6.85,clear sky
141,Bathsheba,BB,13.2167,-59.5167,81.21,88,75,23.02,broken clouds
142,Srandakan,ID,-7.9386,110.2506,81.16,68,30,12.08,scattered clouds
143,Goure,NE,13.9835,10.2704,83.01,49,100,15.05,overcast clouds
144,Inuvik,CA,68.3499,-133.7218,81.36,41,20,9.22,few clouds
145,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,8.05,overcast clouds
146,Puerto Narino,CO,-3.7703,-70.3831,70.34,99,26,1.3,scattered clouds
147,Marshall,US,34.3834,-86.3333,78.39,91,0,0.0,clear sky
148,Bilma,NE,18.6853,12.9164,91.71,15,34,14.09,scattered clouds
149,Hervey Bay,AU,-25.2986,152.8535,62.62,50,0,12.21,clear sky
150,Rodez,FR,44.5,2.5833,66.04,67,0,9.22,clear sky
151,Maniitsoq,GL,65.4167,-52.9,42.33,88,100,7.67,overcast clouds
152,Port Blair,IN,11.6667,92.75,87.84,70,40,9.22,scattered clouds
153,Moissala,TD,8.3404,17.7663,73.78,90,100,2.13,overcast clouds
154,Yar-Sale,RU,66.8333,70.8333,66.06,69,86,9.95,overcast clouds
155,Hobart,AU,-42.8794,147.3294,50.25,87,75,14.97,light intensity shower rain
156,Yarensk,RU,62.1675,49.0916,80.96,52,3,10.58,clear sky
157,Tasiilaq,GL,65.6145,-37.6368,37.74,95,71,3.85,broken clouds
158,Georgetown,MY,5.4112,100.3354,89.55,71,40,9.22,scattered clouds
159,Te Anau,NZ,-45.4167,167.7167,38.73,97,100,1.74,overcast clouds
160,Cayenne,GF,4.9333,-52.3333,76.08,1,27,3.44,light rain
161,Ilulissat,GL,69.2167,-51.1,39.42,93,100,4.79,overcast clouds
162,Bengkulu,ID,-3.8004,102.2655,82.38,75,20,4.56,few clouds
163,Jumla,NP,29.2747,82.1838,81.0,51,20,6.51,few clouds
164,Marsa Matruh,EG,31.3525,27.2453,80.8,78,0,11.5,clear sky
165,Sayyan,YE,15.1718,44.3244,64.31,44,100,10.36,light rain
166,Berdigestyakh,RU,62.0989,126.6992,66.42,55,11,13.98,few clouds
167,Ponta Do Sol,PT,32.6667,-17.1,68.72,69,1,3.76,clear sky
168,Sangar,RU,63.9242,127.4739,51.3,96,100,16.31,light rain
169,Vardo,NO,70.3705,31.1107,51.78,93,100,10.36,moderate rain
170,Yulara,AU,-25.2406,130.9889,60.94,36,0,11.92,clear sky
171,East London,ZA,-33.0153,27.9116,54.54,82,0,8.05,clear sky
172,Brightwater,NZ,-41.3833,173.1167,54.68,97,100,0.94,light rain
173,Palazzolo Acreide,IT,37.0623,14.9035,79.92,30,0,4.54,clear sky
174,Kristiansund,NO,63.1115,7.732,54.25,76,75,14.97,broken clouds
175,Ziro,IN,27.6333,93.8333,59.74,84,54,3.06,broken clouds
176,Rocha,UY,-34.4833,-54.3333,41.16,51,0,4.0,clear sky
177,Kailua,US,21.4022,-157.7394,78.78,84,100,13.8,light rain
178,Banikoara,BJ,11.2985,2.4386,78.31,79,97,4.47,overcast clouds
179,Kenner,US,29.9941,-90.2417,82.4,82,0,0.0,clear sky
180,Mongagua,BR,-24.0931,-46.6208,68.38,56,56,3.98,broken clouds
181,Vanimo,PG,-2.6741,141.3028,82.02,79,100,3.11,overcast clouds
182,Sheridan,US,44.8333,-106.9173,71.31,62,74,3.0,broken clouds
183,Goma,CD,-1.6792,29.2228,70.66,58,48,2.04,scattered clouds
184,Ulaanbaatar,MN,47.9077,106.8832,69.93,37,40,6.71,scattered clouds
185,Pasighat,IN,28.0667,95.3333,87.13,80,28,3.11,scattered clouds
186,Fairbanks,US,64.8378,-147.7164,75.54,53,75,18.41,smoke
187,Saint-Philippe,RE,-21.3585,55.7679,72.99,67,31,15.61,scattered clouds
188,Touros,BR,-5.1989,-35.4608,72.37,93,97,10.27,overcast clouds
189,Faanui,PF,-16.4833,-151.75,78.4,72,1,7.11,clear sky
190,Dongsheng,CN,39.8161,109.9776,87.64,17,4,10.51,clear sky
191,Danilovka,RU,50.3557,44.1168,82.17,36,0,5.86,clear sky
192,Garissa,KE,-0.4536,39.6401,76.05,64,97,21.12,overcast clouds
193,Caborca,MX,30.5838,-111.101,85.62,32,93,3.49,overcast clouds
194,Voyvozh,RU,62.892,54.9635,84.18,40,10,12.1,clear sky
195,Alofi,NU,-19.0595,-169.9187,73.29,78,89,11.5,overcast clouds
196,Kenai,US,60.5544,-151.2583,60.89,73,75,8.05,broken clouds
197,Erenhot,CN,43.6475,111.9767,78.91,27,7,17.78,clear sky
198,Spirit River,CA,55.7833,-118.8361,59.43,93,100,8.55,overcast clouds
199,Borzya,RU,50.3833,116.5167,55.04,93,100,21.27,light rain
200,Saskylakh,RU,71.9167,114.0833,57.83,33,7,9.71,clear sky
201,Panguna,PG,-6.3164,155.4848,73.13,83,95,2.75,light rain
202,North Platte,US,41.1239,-100.7654,68.99,94,2,1.01,clear sky
203,Rio Gallegos,AR,-51.6226,-69.2181,19.45,86,0,5.75,clear sky
204,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,73.99,57,0,8.95,clear sky
205,Shetpe,KZ,44.1667,52.1167,85.1,23,0,10.83,clear sky
206,Lebu,CL,-37.6167,-73.65,44.04,88,1,8.57,clear sky
207,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.58,89,100,8.59,overcast clouds
208,Paamiut,GL,61.994,-49.6678,43.18,72,5,5.28,clear sky
209,Geraldton,AU,-28.7667,114.6,79.21,17,0,13.8,clear sky
210,Benguela,AO,-12.5763,13.4055,68.56,83,16,1.3,few clouds
