City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
192,Garissa,KE,76.05,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
193,Caborca,MX,85.62,overcast clouds,30.5838,-111.101,Hotel Los Lagos
194,Voyvozh,RU,84.18,clear sky,62.892,54.9635,Gostinitsa Yakor'
197,Erenhot,CN,78.91,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
205,Shetpe,KZ,85.1,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
209,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
211,Batticaloa,LK,89.51,overcast clouds,7.7102,81.6924,Grand Star Guest House
216,Shimoda,JP,82.76,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
218,Hasaki,JP,81.28,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
219,Kelo,TD,78.82,overcast clouds,9.3086,15.8066,Plantation de Kelo
220,Along,IN,87.42,few clouds,28.1667,94.7667,Hotel West
221,Xifeng,CN,82.58,clear sky,42.7372,124.7222,Home Inn Hotel
229,Dutse,NG,79.83,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
231,Acapulco,MX,79.07,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
234,Puri,IN,88.32,heavy intensity rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
235,Hamilton,US,76.23,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
236,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
238,Meulaboh,ID,86.16,overcast clouds,4.1363,96.1285,Kost Pria
240,Sur,OM,87.76,light rain,22.5667,59.5289,Sur Plaza Hotel
241,Marsh Harbour,BS,81.86,few clouds,26.5412,-77.0636,Abaco Beach Resort
242,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
250,Pedernales,DO,78.46,few clouds,18.0384,-71.744,Hotel Costa Marina
251,Takoradi,GH,75.72,overcast clouds,4.8845,-1.7554,Raybow International Hotel
254,Anloga,GH,77.61,light rain,5.7947,0.8973,Pin Drop Hotel
255,Sukabumi,ID,81.81,scattered clouds,-6.9181,106.9267,The Bountie Hotel
258,Bryukhovetskaya,RU,84.51,clear sky,45.806,38.9996,"Gostinitsa ""Kameliia"""
260,Banfora,BF,76.78,overcast clouds,10.6333,-4.7667,Residences David Hebié
262,Saint Augustine,US,78.03,overcast clouds,29.8947,-81.3145,St. George Inn
265,Pundaguitan,PH,82.8,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
267,Dagana,MR,77.27,scattered clouds,16.5165,-15.5068,Quartier Dille koumba fatim thiam
273,Naze,JP,88.72,overcast clouds,28.3667,129.4833,Shishime Hotel
274,Gat,IL,86.4,clear sky,31.61,34.7642,OlusHome
276,Fare,PF,78.3,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
282,Malumfashi,NG,78.44,overcast clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
283,Trinidad,BO,76.03,broken clouds,-14.8333,-64.9,Hotel Piesta
284,Redlands,US,77.34,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
285,Hobyo,SO,81.68,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
287,Kavaratti,IN,81.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
292,Bandarbeyla,SO,86.09,few clouds,9.4942,50.8122,JABIR HOTEL
299,Chumikan,RU,75.94,overcast clouds,54.7183,135.315,Fortuna
300,Auki,SB,80.51,overcast clouds,-8.7676,160.7034,Auki Motel
305,Matamoros,MX,81.93,clear sky,25.5333,-103.25,Quinta Belem
307,Cabra,ES,78.66,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
308,Coahuayana,MX,76.62,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
309,San Policarpo,PH,85.51,overcast clouds,12.1791,125.5072,Agapita M. Nicart
314,Orikum,AL,79.93,broken clouds,40.3253,19.4714,Hotel Denta
315,Bulancak,TR,77.77,scattered clouds,40.9372,38.2291,Başoğlu Bulancak Otel
320,Mikhaylovka,RU,83.79,clear sky,50.06,43.2379,5 Komnat
321,Garowe,SO,83.34,broken clouds,8.4054,48.4845,Curubo Hotel
323,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
330,Quatre Cocos,MU,75.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
339,Annur,IN,86.41,overcast clouds,11.2333,77.1333,Sri Prabhu Lodge
341,Hirara,JP,89.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
347,Opelousas,US,78.84,clear sky,30.5335,-92.0815,"Holiday Inn & Suites Opelousas, an IHG Hotel"
352,Ambilobe,MG,82.13,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
354,Norman Wells,CA,78.84,smoke,65.282,-126.8329,Heritage Hotel
356,Paoay,PH,87.71,broken clouds,18.0616,120.5221,City Government of Batac Inn
358,Ixtapa,MX,81.23,overcast clouds,20.7,-105.2,hotel la terminal
360,Tura,IN,87.55,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
367,Lakatoro,VU,79.43,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
369,Faya,SA,77.29,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
372,Cabo San Lucas,MX,85.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
373,Sambava,MG,75.27,light rain,-14.2667,50.1667,Melrose
377,Mamallapuram,IN,87.85,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
379,Severnyy,RU,82.44,clear sky,50.677,36.5532,Full House North Mini-Hotel
